Date,Region,Category,Product,Quantity,Unit_Price,Discount_Percent,Sales_Amount,Profit,Customer_Age,Customer_Rating,Payment_Method,Channel
2023-01-15,North,Food,Beverages,7,20.8,0,202.78,76.69,58,3.5,E-Wallet,In-Store
2023-01-15,East,Electronics,Smartphone,6,399.85,10,3007.77,1237.04,60,3.5,Credit Card,In-Store
2023-01-16,North,Toys,Doll,5,32.1,5,212.21,76.9,24,3.8,Credit Card,Online
2023-01-16,Central,Furniture,Sofa,8,306.81,10,3074.22,774.52,39,5.0,Cash,In-Store
2023-01-17,South,Electronics,Smartphone,8,378.96,20,3371.68,1445.86,46,4.3,Credit Card,In-Store
2023-01-17,West,Toys,Board Game,7,45.65,5,422.05,126.58,30,4.4,Bank Transfer,Online
2023-01-17,South,Electronics,Tablet,6,413.02,0,3445.04,1433.45,62,4.6,Cash,Online
2023-01-18,East,Electronics,Headphones,4,572.3,15,2702.03,921.71,38,5.0,Credit Card,Online
2023-01-18,East,Clothing,Shoes,6,74.14,0,617.7,128.79,31,3.5,Credit Card,In-Store
2023-01-18,North,Toys,Puzzle,4,37.79,20,167.92,67.37,39,4.6,Cash,Online
2023-01-19,Central,Furniture,Sofa,2,357.48,0,991.61,437.79,28,4.9,Credit Card,Online
2023-01-19,West,Clothing,Jacket,3,72.1,15,254.99,87.51,38,4.4,Credit Card,In-Store
2023-01-19,Central,Electronics,Laptop,7,581.98,0,5650.15,1726.55,32,3.3,Bank Transfer,Online
2023-01-20,Central,Electronics,Headphones,5,494.51,0,3424.84,1286.44,27,3.2,Credit Card,Online
2023-01-20,East,Electronics,Laptop,10,378.44,5,4979.84,1566.45,48,4.4,E-Wallet,In-Store
2023-01-21,Central,Toys,Action Figure,5,44.94,25,233.09,49.33,18,3.4,Credit Card,In-Store
2023-01-21,North,Toys,Doll,7,44.5,25,323.15,120.23,60,3.5,Bank Transfer,Online
2023-01-21,North,Clothing,T-Shirt,9,67.15,0,835.95,311.51,40,3.6,Cash,Online
2023-01-22,North,Furniture,Sofa,6,286.07,0,2370.71,780.69,62,4.2,E-Wallet,In-Store
2023-01-22,South,Clothing,T-Shirt,4,73.79,5,387.29,124.39,50,4.5,E-Wallet,In-Store
2023-01-22,South,Food,Dairy,5,31.99,0,220.94,99.35,20,3.4,E-Wallet,In-Store
2023-01-23,South,Electronics,Smartphone,4,408.99,15,1917.63,567.68,38,3.2,Credit Card,Online
2023-01-23,West,Electronics,Laptop,7,379.83,5,3483.32,698.97,18,4.8,Cash,In-Store
2023-01-24,South,Electronics,Smartphone,7,403.77,15,3307.64,1246.97,26,4.7,Credit Card,Online
2023-01-24,South,Clothing,Shoes,10,72.62,10,899.8,263.01,36,4.5,Cash,In-Store
2023-01-24,East,Clothing,Jacket,6,68.3,10,507.78,227.92,28,4.4,Cash,Online
2023-01-25,North,Electronics,Headphones,6,503.11,15,3526.58,1054.16,31,3.9,E-Wallet,Online
2023-01-25,West,Clothing,Jeans,4,60.05,0,330.16,111.67,29,3.9,Credit Card,Online
2023-01-25,North,Toys,Doll,9,43.56,0,538.79,171.02,66,4.0,Credit Card,Online
2023-01-26,Central,Toys,Puzzle,7,38.16,15,311.48,97.81,39,3.4,Bank Transfer,Online
2023-01-26,West,Clothing,T-Shirt,6,62.32,0,512.96,208.14,46,4.3,Bank Transfer,Online
2023-01-26,North,Electronics,Headphones,2,538.44,0,1477.42,380.45,37,4.1,Bank Transfer,Online
2023-01-27,North,Clothing,Jeans,4,77.44,20,339.32,105.58,42,4.1,Cash,Online
2023-01-27,West,Clothing,Jeans,3,75.97,10,280.9,107.43,18,4.8,Credit Card,In-Store
2023-01-28,West,Clothing,T-Shirt,8,76.02,5,789.55,170.27,59,3.9,E-Wallet,Online
2023-01-28,West,Food,Bakery,3,25.03,10,92.35,41.26,28,4.6,Credit Card,In-Store
2023-01-28,West,Toys,Doll,3,41.38,0,169.64,45.55,52,3.0,Credit Card,In-Store
2023-01-29,North,Furniture,Chair,9,345.85,25,3183.85,1129.28,53,4.9,Credit Card,Online
2023-01-29,South,Furniture,Chair,4,378.33,0,2063.93,659.15,18,4.5,E-Wallet,Online
2023-01-29,North,Food,Beverages,7,21.77,10,187.1,70.56,38,5.0,Credit Card,In-Store
2023-01-30,Central,Clothing,Shoes,7,57.13,15,462.59,171.01,43,5.0,E-Wallet,Online
2023-01-30,East,Food,Snacks,3,21.74,5,84.32,37.63,39,4.7,Credit Card,Online
2023-01-30,South,Food,Snacks,6,27.65,15,191.91,51.34,37,3.8,Credit Card,Online
2023-01-31,North,Electronics,Headphones,3,428.92,20,1397.84,380.63,32,3.5,Cash,Online
2023-01-31,South,Toys,Puzzle,3,38.52,10,141.24,40.45,28,3.5,Credit Card,Online
2023-02-01,South,Furniture,Chair,6,250.64,0,2037.36,469.64,51,4.4,Bank Transfer,In-Store
2023-02-01,West,Clothing,Shoes,5,58.49,10,356.61,80.12,43,5.0,Bank Transfer,In-Store
2023-02-01,East,Furniture,Table,4,369.37,20,1601.36,497.84,40,3.2,Credit Card,In-Store
2023-02-02,Central,Furniture,Shelf,6,274.96,5,2118.26,590.56,18,3.4,Bank Transfer,Online
2023-02-02,East,Toys,Action Figure,9,45.9,10,502.54,224.76,34,4.1,E-Wallet,In-Store
2023-02-02,North,Furniture,Sofa,8,334.44,5,3435.35,819.04,37,3.2,Cash,In-Store
2023-02-03,West,Furniture,Chair,6,369.52,0,2989.18,735.03,48,3.7,E-Wallet,In-Store
2023-02-03,West,Food,Dairy,7,21.65,0,204.36,90.93,18,5.0,Bank Transfer,Online
2023-02-03,East,Toys,Action Figure,4,51.55,25,208.51,65.53,23,4.9,Credit Card,Online
2023-02-04,West,Electronics,Tablet,6,491.09,10,3566.21,796.46,61,4.8,Credit Card,In-Store
2023-02-04,East,Clothing,Shoes,9,77.86,0,942.39,381.34,27,3.2,Cash,Online
2023-02-05,East,Furniture,Sofa,6,376.73,20,2425.35,877.58,18,2.8,Credit Card,In-Store
2023-02-05,South,Clothing,Jeans,7,54.65,5,487.4,178.99,28,3.8,Credit Card,Online
2023-02-05,North,Electronics,Headphones,6,372.64,15,2548.95,920.21,27,2.3,E-Wallet,In-Store
2023-02-06,North,Clothing,Jacket,6,55.67,0,446.78,196.37,46,4.4,E-Wallet,Online
2023-02-06,North,Electronics,Laptop,8,478.7,20,4097.97,1558.24,46,4.8,Credit Card,Online
2023-02-06,East,Food,Dairy,6,22.14,10,159.95,60.19,25,3.5,Credit Card,In-Store
2023-02-07,South,Furniture,Chair,5,265.12,10,1591.33,371.63,33,4.6,E-Wallet,In-Store
2023-02-07,East,Electronics,Laptop,8,464.08,0,4952.14,1792.53,44,4.5,Credit Card,In-Store
2023-02-07,Central,Clothing,Shoes,7,49.0,0,457.49,154.72,45,3.1,E-Wallet,Online
2023-02-08,North,Furniture,Chair,10,258.28,0,3435.19,1218.86,24,3.7,Bank Transfer,Online
2023-02-08,South,Food,Snacks,5,25.2,20,134.06,56.28,25,3.8,Bank Transfer,Online
2023-02-09,West,Furniture,Shelf,2,249.47,0,661.63,133.92,65,4.6,E-Wallet,Online
2023-02-09,North,Electronics,Headphones,9,449.27,10,4825.68,1175.26,34,4.7,Credit Card,In-Store
2023-02-09,North,Food,Beverages,6,25.93,0,206.27,64.93,57,4.5,Credit Card,Online
2023-02-10,South,Clothing,Jeans,7,61.54,0,569.49,188.45,40,3.6,E-Wallet,Online
2023-02-10,North,Food,Beverages,6,30.86,0,244.82,70.43,52,5.0,Bank Transfer,In-Store
2023-02-10,Central,Food,Dairy,7,26.63,15,209.44,77.16,46,4.2,Credit Card,Online
2023-02-11,West,Toys,Puzzle,9,41.36,15,416.98,182.4,40,4.5,Credit Card,In-Store
2023-02-11,East,Food,Beverages,3,25.13,25,74.53,26.0,40,5.0,E-Wallet,Online
2023-02-11,Central,Food,Dairy,5,30.22,20,159.31,32.5,21,4.7,Credit Card,Online
2023-02-12,West,Furniture,Chair,2,374.26,0,983.31,397.66,35,3.9,Credit Card,In-Store
2023-02-12,North,Clothing,Shoes,7,73.6,15,575.26,182.98,31,3.8,Bank Transfer,Online
2023-02-13,Central,Furniture,Table,9,341.03,5,3817.85,1709.9,33,2.7,Credit Card,Online
2023-02-13,East,Furniture,Chair,8,260.6,20,2183.83,916.1,33,2.9,Credit Card,In-Store
2023-02-13,West,Electronics,Smartphone,7,422.3,0,3870.55,1173.56,40,4.7,Cash,In-Store
2023-02-14,Central,Furniture,Table,5,246.91,15,1369.36,514.4,46,2.5,E-Wallet,In-Store
2023-02-14,South,Toys,Action Figure,4,50.62,0,264.21,59.07,36,4.8,Credit Card,In-Store
2023-02-14,North,Toys,Puzzle,7,45.22,0,413.03,143.92,50,4.6,Cash,Online
2023-02-15,North,Electronics,Headphones,7,527.93,0,4805.82,1912.67,32,3.3,E-Wallet,Online
2023-02-15,South,Clothing,T-Shirt,4,57.35,0,298.31,93.55,39,4.1,Cash,In-Store
2023-02-16,West,Clothing,Jeans,2,73.37,5,180.64,45.39,70,4.5,Credit Card,Online
2023-02-16,Central,Furniture,Chair,9,278.94,15,2765.21,1230.92,22,4.3,Credit Card,Online
2023-02-16,North,Furniture,Shelf,3,240.25,15,793.88,256.91,32,5.0,Cash,Online
2023-02-17,East,Furniture,Sofa,6,296.46,0,2296.71,589.44,18,2.9,E-Wallet,Online
2023-02-17,South,Clothing,T-Shirt,5,65.12,0,420.43,178.3,40,4.4,E-Wallet,Online
2023-02-17,North,Food,Bakery,7,25.98,5,223.11,50.04,38,3.6,E-Wallet,Online
2023-02-18,North,Toys,Board Game,5,49.24,20,253.38,97.26,39,2.8,E-Wallet,In-Store
2023-02-18,South,Food,Bakery,6,21.32,0,164.54,67.02,26,3.1,Credit Card,Online
2023-02-18,Central,Food,Dairy,6,26.92,5,197.41,59.75,28,3.7,E-Wallet,In-Store
2023-02-19,South,Clothing,T-Shirt,7,63.39,0,568.66,231.01,38,4.0,E-Wallet,In-Store
2023-02-19,East,Food,Bakery,4,23.52,5,114.53,32.08,19,3.4,Cash,Online
2023-02-20,West,Electronics,Smartphone,6,545.0,0,4174.59,1367.07,49,3.6,Credit Card,Online
2023-02-20,South,Furniture,Shelf,6,352.93,0,2703.35,1142.19,19,3.7,Cash,Online
2023-02-20,Central,Electronics,Headphones,5,524.89,0,3350.47,743.39,36,3.3,Cash,Online
2023-02-21,Central,Toys,Puzzle,5,49.52,0,314.88,88.7,32,3.5,Credit Card,In-Store
2023-02-21,South,Furniture,Sofa,5,348.42,0,2215.27,694.49,31,4.5,E-Wallet,Online
2023-02-21,East,Food,Bakery,5,22.9,10,131.03,46.7,18,5.0,E-Wallet,Online
2023-02-22,South,Toys,Doll,7,46.11,0,408.81,170.18,37,4.2,E-Wallet,Online
2023-02-22,South,Furniture,Table,7,286.16,0,2536.95,692.89,22,4.1,Credit Card,In-Store
2023-02-22,North,Food,Snacks,7,23.03,0,204.15,50.34,39,3.9,Credit Card,Online
2023-02-23,East,Electronics,Laptop,8,376.43,20,3038.74,1271.85,28,3.9,E-Wallet,In-Store
2023-02-23,East,Furniture,Shelf,6,351.6,10,2394.87,781.59,37,4.6,E-Wallet,In-Store
2023-02-24,North,Food,Snacks,9,28.89,10,293.91,96.64,18,4.9,Cash,Online
2023-02-24,South,Electronics,Smartphone,5,412.76,5,2462.73,892.79,49,3.1,E-Wallet,Online
2023-02-24,Central,Toys,Board Game,6,46.99,0,354.13,89.47,52,4.8,Credit Card,Online
2023-02-25,North,Toys,Puzzle,2,50.36,0,125.97,53.55,30,5.0,E-Wallet,Online
2023-02-25,North,Toys,Doll,8,34.16,5,324.73,129.48,74,3.2,Bank Transfer,Online
2023-02-25,East,Toys,Board Game,6,36.65,10,247.56,111.3,47,4.8,E-Wallet,Online
2023-02-26,Central,Clothing,Jacket,10,70.51,20,702.47,250.61,34,5.0,Bank Transfer,Online
2023-02-26,North,Furniture,Table,6,281.18,20,1680.8,634.01,31,4.8,Cash,In-Store
2023-02-26,West,Furniture,Shelf,9,333.7,5,3553.2,828.79,27,4.0,E-Wallet,In-Store
2023-02-27,West,Clothing,T-Shirt,10,50.43,5,594.07,156.57,30,4.7,Credit Card,In-Store
2023-02-27,North,Food,Bakery,6,25.65,0,190.84,81.85,36,3.3,Credit Card,Online
2023-02-28,West,Food,Dairy,10,29.24,0,360.91,95.55,37,3.7,Credit Card,In-Store
2023-02-28,South,Toys,Doll,6,45.73,20,270.95,76.18,19,3.6,Cash,Online
2023-02-28,East,Electronics,Laptop,7,543.39,0,4695.14,1782.13,55,2.9,Credit Card,Online
2023-03-01,East,Food,Snacks,4,30.97,25,114.15,50.93,48,4.2,E-Wallet,Online
2023-03-01,East,Electronics,Smartphone,6,533.97,5,3739.78,1575.23,62,4.2,Bank Transfer,Online
2023-03-01,North,Furniture,Chair,6,340.74,5,2386.46,924.79,42,4.5,E-Wallet,Online
2023-03-02,West,Electronics,Laptop,9,367.14,0,4041.25,993.52,51,1.0,Credit Card,In-Store
2023-03-02,South,Furniture,Shelf,8,320.25,10,2820.07,940.98,21,4.2,Bank Transfer,Online
2023-03-02,North,Clothing,Shoes,9,49.13,5,513.77,113.23,45,4.1,Cash,Online
2023-03-03,North,Clothing,Jacket,13,72.24,5,1086.06,274.46,18,3.2,E-Wallet,Online
2023-03-03,East,Toys,Action Figure,3,38.41,0,140.29,53.06,25,3.6,E-Wallet,In-Store
2023-03-04,West,Food,Bakery,7,27.03,0,229.23,54.71,70,4.5,Bank Transfer,In-Store
2023-03-04,North,Toys,Puzzle,5,37.59,5,216.31,91.03,33,4.2,Cash,In-Store
2023-03-04,East,Furniture,Sofa,8,357.38,0,3463.65,1527.37,37,4.0,E-Wallet,Online
2023-03-05,North,Toys,Doll,5,49.73,10,269.8,80.36,47,4.8,Cash,In-Store
2023-03-05,East,Electronics,Smartphone,5,449.69,10,2439.71,889.43,37,5.0,Cash,Online
2023-03-05,North,Furniture,Table,4,369.44,0,1781.6,654.99,24,3.8,Cash,In-Store
2023-03-06,West,Clothing,Jacket,7,56.01,10,423.34,117.77,25,4.3,Cash,In-Store
2023-03-06,South,Food,Dairy,7,26.68,0,224.08,53.21,48,3.3,Cash,Online
2023-03-07,Central,Furniture,Sofa,5,368.81,10,1981.11,731.93,41,5.0,E-Wallet,In-Store
2023-03-07,North,Furniture,Sofa,8,288.88,0,2758.67,1017.25,48,3.6,Credit Card,Online
2023-03-07,South,Electronics,Headphones,7,574.66,0,4801.73,1519.93,45,2.6,E-Wallet,Online
2023-03-08,North,Food,Snacks,7,21.52,0,178.93,51.3,38,4.5,E-Wallet,In-Store
2023-03-08,Central,Clothing,T-Shirt,7,48.55,15,343.06,136.98,38,2.8,E-Wallet,Online
2023-03-08,Central,Furniture,Shelf,3,375.62,0,1338.29,296.87,39,5.0,Credit Card,In-Store
2023-03-09,South,Furniture,Table,5,250.3,0,1478.66,423.48,33,4.5,E-Wallet,Online
2023-03-09,West,Electronics,Laptop,3,583.18,5,1963.74,576.77,33,3.3,Bank Transfer,In-Store
2023-03-09,West,Toys,Puzzle,5,51.03,0,301.45,67.51,44,4.5,E-Wallet,In-Store
2023-03-10,East,Clothing,T-Shirt,5,52.11,15,260.31,58.1,56,3.8,E-Wallet,In-Store
2023-03-10,East,Food,Bakery,4,26.72,10,113.06,47.05,18,4.4,Cash,Online
2023-03-11,North,Furniture,Sofa,6,267.74,20,1502.52,621.64,69,3.1,Bank Transfer,Online
2023-03-11,North,Furniture,Shelf,7,304.22,0,2489.77,646.13,47,2.9,E-Wallet,In-Store
2023-03-11,Central,Clothing,Jeans,5,49.84,0,291.37,61.41,43,4.3,Credit Card,In-Store
2023-03-12,Central,Toys,Action Figure,5,36.48,10,190.89,54.09,24,5.0,Cash,Online
2023-03-12,East,Furniture,Table,3,294.49,10,924.63,321.01,28,3.6,E-Wallet,Online
2023-03-12,South,Clothing,Jeans,10,61.16,0,711.21,198.52,45,3.4,Credit Card,In-Store
2023-03-13,South,Electronics,Laptop,10,579.94,10,6036.62,2371.17,41,3.8,E-Wallet,In-Store
2023-03-13,West,Toys,Puzzle,9,48.16,15,426.08,85.43,21,3.1,Credit Card,In-Store
2023-03-13,Central,Food,Bakery,7,29.22,0,236.54,80.95,26,4.4,Cash,In-Store
2023-03-14,Central,Furniture,Sofa,9,320.56,10,2986.52,648.31,28,4.8,E-Wallet,Online
2023-03-14,West,Clothing,Jeans,5,73.2,0,420.98,144.1,27,4.4,E-Wallet,In-Store
2023-03-15,East,Electronics,Tablet,8,436.35,20,3194.21,696.23,41,4.1,E-Wallet,In-Store
2023-03-15,North,Food,Snacks,7,28.86,5,219.53,80.36,24,3.3,E-Wallet,Online
2023-03-15,North,Clothing,T-Shirt,7,77.81,0,623.02,161.9,48,5.0,Bank Transfer,Online
2023-03-16,Central,Clothing,Jacket,8,57.44,5,496.5,105.38,18,3.4,Cash,Online
2023-03-16,East,Food,Dairy,3,28.43,25,72.74,20.99,50,3.5,E-Wallet,In-Store
2023-03-16,North,Electronics,Headphones,8,549.97,10,4503.7,1263.78,75,2.6,Credit Card,In-Store
2023-03-17,North,Electronics,Tablet,7,566.06,0,4480.96,1901.17,48,2.9,E-Wallet,In-Store
2023-03-17,West,Toys,Puzzle,7,46.36,10,330.28,109.47,30,4.4,Credit Card,In-Store
2023-03-17,North,Furniture,Chair,7,282.54,10,2012.96,459.58,31,3.8,Bank Transfer,Online
2023-03-18,North,Food,Dairy,6,24.08,0,162.44,63.31,23,3.3,Credit Card,In-Store
2023-03-18,East,Food,Beverages,8,20.26,0,182.23,46.09,52,3.4,Credit Card,In-Store
2023-03-19,West,Food,Dairy,6,29.51,10,178.13,50.07,40,3.7,Credit Card,Online
2023-03-19,West,Electronics,Tablet,10,369.62,5,3924.93,1547.42,18,3.6,Credit Card,Online
2023-03-19,North,Furniture,Sofa,7,369.7,0,2892.69,1097.2,19,5.0,Cash,Online
2023-03-20,West,Toys,Board Game,6,34.37,15,194.79,66.84,18,3.9,Cash,Online
2023-03-20,North,Clothing,Shoes,4,53.16,5,224.45,93.98,47,4.1,Bank Transfer,Online
2023-03-20,South,Clothing,Jacket,11,62.3,0,761.44,168.78,24,4.0,Credit Card,In-Store
2023-03-21,West,Food,Snacks,4,29.22,0,129.12,34.24,48,4.1,Credit Card,In-Store
2023-03-21,East,Furniture,Table,5,260.85,10,1296.55,465.15,30,3.8,E-Wallet,In-Store
2023-03-21,West,Electronics,Headphones,5,459.02,10,2281.54,855.77,48,3.7,Credit Card,In-Store
2023-03-22,West,Furniture,Shelf,6,312.43,10,1852.26,514.2,34,4.6,E-Wallet,Online
2023-03-22,East,Furniture,Table,9,271.84,0,2686.09,923.87,50,4.2,Cash,Online
2023-03-23,North,Electronics,Tablet,3,386.0,10,1137.25,446.56,27,3.5,E-Wallet,Online
2023-03-23,South,Food,Beverages,13,30.46,20,345.62,118.36,28,1.9,Credit Card,Online
2023-03-23,South,Furniture,Table,5,315.37,5,1634.63,379.52,32,3.6,Credit Card,In-Store
2023-03-24,North,Clothing,Jacket,3,48.43,0,157.57,68.2,48,2.9,E-Wallet,In-Store
2023-03-24,Central,Electronics,Laptop,4,540.67,15,1993.59,713.53,23,3.5,Cash,Online
2023-03-24,South,Toys,Board Game,2,51.62,0,111.95,23.44,30,2.9,Bank Transfer,Online
2023-03-25,Central,Food,Bakery,9,27.57,0,267.46,119.37,34,4.9,Cash,In-Store
2023-03-25,East,Electronics,Tablet,9,473.33,0,4591.19,1043.76,43,4.9,E-Wallet,In-Store
2023-03-25,West,Toys,Action Figure,7,49.57,0,373.95,133.24,32,4.6,Bank Transfer,In-Store
2023-03-26,East,Toys,Action Figure,4,51.05,5,207.76,83.65,45,3.7,Credit Card,Online
2023-03-26,East,Furniture,Chair,6,353.18,0,2269.49,1012.77,28,3.5,E-Wallet,Online
2023-03-27,East,Furniture,Sofa,6,306.82,20,1567.26,677.64,50,3.0,Credit Card,Online
2023-03-27,North,Furniture,Shelf,6,328.83,5,1994.66,811.91,47,4.7,E-Wallet,In-Store
2023-03-27,West,Electronics,Smartphone,4,517.71,10,1983.39,879.93,30,4.8,E-Wallet,Online
2023-03-28,South,Electronics,Laptop,10,403.71,5,4055.34,1484.41,47,4.4,Cash,Online
2023-03-28,North,Food,Bakery,7,25.59,10,170.47,74.8,23,3.2,Credit Card,In-Store
2023-03-28,East,Furniture,Table,8,364.47,5,2928.95,811.16,40,3.7,E-Wallet,Online
2023-03-29,North,Toys,Doll,6,45.09,15,241.61,59.26,27,4.1,E-Wallet,In-Store
2023-03-29,Central,Clothing,T-Shirt,5,60.34,15,269.39,61.46,42,2.7,Bank Transfer,Online
2023-03-30,Central,Food,Snacks,5,28.29,10,132.88,41.55,35,5.0,E-Wallet,Online
2023-03-30,Central,Electronics,Tablet,4,386.6,5,1533.31,327.17,28,3.0,Credit Card,In-Store
2023-03-30,South,Food,Dairy,12,25.02,15,266.35,119.48,18,3.6,E-Wallet,Online
2023-03-31,North,Food,Bakery,5,29.91,5,147.33,61.36,35,2.7,E-Wallet,Online
2023-03-31,Central,Food,Beverages,7,22.76,0,165.17,62.22,53,3.8,Credit Card,Online
2023-03-31,South,Food,Dairy,9,22.32,0,208.33,52.65,41,3.8,Credit Card,In-Store
2023-04-01,Central,Clothing,Jeans,5,76.52,20,315.28,72.09,18,5.0,E-Wallet,In-Store
2023-04-01,Central,Furniture,Shelf,11,271.48,0,3075.96,908.84,34,3.2,E-Wallet,In-Store
2023-04-01,Central,Toys,Board Game,5,37.22,15,162.93,57.71,53,3.2,Credit Card,In-Store
2023-04-02,South,Food,Beverages,7,32.12,0,230.04,65.23,33,4.1,Bank Transfer,In-Store
2023-04-02,South,Food,Bakery,7,29.18,5,198.56,80.37,25,2.4,Cash,Online
2023-04-03,Central,Food,Bakery,6,28.74,10,157.75,52.93,60,5.0,Bank Transfer,In-Store
2023-04-03,South,Furniture,Sofa,5,367.94,0,1869.62,604.1,23,2.9,Cash,Online
2023-04-03,North,Electronics,Tablet,8,386.06,10,2824.84,1197.12,35,5.0,Cash,In-Store
2023-04-04,East,Electronics,Laptop,4,518.84,10,1885.35,832.44,30,3.5,Credit Card,In-Store
2023-04-04,Central,Clothing,Jeans,7,63.11,5,423.62,111.19,46,2.9,E-Wallet,In-Store
2023-04-04,West,Electronics,Smartphone,6,546.56,10,2979.11,942.36,44,4.6,Cash,Online
2023-04-05,East,Food,Bakery,3,26.35,0,79.25,29.08,26,4.4,E-Wallet,In-Store
2023-04-05,North,Food,Bakery,6,27.75,5,158.59,54.03,28,4.5,Credit Card,Online
2023-04-05,East,Food,Snacks,2,25.97,0,52.07,10.97,39,4.1,E-Wallet,Online
2023-04-06,Central,Clothing,Jacket,4,62.34,0,248.28,87.84,40,5.0,Cash,In-Store
2023-04-06,North,Food,Bakery,7,29.6,20,165.03,69.99,35,3.1,Credit Card,Online
2023-04-07,East,Electronics,Tablet,7,501.43,10,3123.38,1043.52,34,5.0,Credit Card,Online
2023-04-07,Central,Furniture,Shelf,13,334.99,10,3875.2,1116.01,22,2.8,Credit Card,In-Store
2023-04-07,West,Furniture,Shelf,4,307.54,10,1094.67,489.29,62,5.0,E-Wallet,In-Store
2023-04-08,West,Toys,Action Figure,5,42.62,0,209.24,76.77,46,4.3,Cash,In-Store
2023-04-08,West,Electronics,Tablet,4,527.79,10,1865.54,655.96,38,5.0,Credit Card,In-Store
2023-04-08,South,Food,Beverages,5,30.32,15,126.54,42.27,50,4.8,Credit Card,Online
2023-04-09,South,Furniture,Shelf,1,344.48,0,335.86,125.81,35,2.3,Cash,Online
